DATE,ACCLASS,INJURY,ACCNUM
2006/02/20,Fatal,None,1
2006/02/20,Non-Fatal Injury,Major,1
2006/02/20,Non-Fatal Injury,None,1
2006/02/21,Non-Fatal Injury,Major,1
2006/02/21,Non-Fatal Injury,None,1
2006/02/23,Non-Fatal Injury,Major,2
2006/02/23,Non-Fatal Injury,None,3
2006/02/24,Non-Fatal Injury,Major,1
2006/02/24,Non-Fatal Injury,None,2
2006/02/25,Non-Fatal Injury,Major,1
2006/02/25,Non-Fatal Injury,None,1
2006/02/26,Non-Fatal Injury,Major,6
2006/02/26,Non-Fatal Injury,Minimal,1
2006/02/26,Non-Fatal Injury,None,3
2006/02/27,Fatal,Fatal,1
2006/02/27,Fatal,None,1
2006/02/27,Non-Fatal Injury,Major,2
2006/02/27,Non-Fatal Injury,None,2
2006/02/28,Non-Fatal Injury,Major,2
2006/02/28,Non-Fatal Injury,Minor,1
2006/02/28,Non-Fatal Injury,None,2
2006/03/01,Non-Fatal Injury,Major,1
2006/03/01,Non-Fatal Injury,None,1
2006/03/06,Fatal,Fatal,1
2006/03/06,Fatal,Minor,3
2006/03/06,Fatal,None,1
2006/03/06,Non-Fatal Injury,Major,1
2006/03/06,Non-Fatal Injury,None,2
2006/03/08,Fatal,Fatal,1
2006/03/08,Fatal,Major,1
2006/03/08,Fatal,Minor,2
2006/03/08,Fatal,None,1
2006/03/11,Fatal,Fatal,2
2006/03/11,Fatal,None,2
2006/03/12,Fatal,Fatal,1
2006/03/12,Fatal,Minor,1
2006/03/12,Fatal,None,1
2006/03/12,Non-Fatal Injury,Major,1
2006/03/12,Non-Fatal Injury,None,1
2006/03/15,Fatal,Fatal,1
2006/03/15,Fatal,None,1
2006/03/16,Non-Fatal Injury,Major,4
2006/03/16,Non-Fatal Injury,Minor,2
2006/03/16,Non-Fatal Injury,None,5
2006/03/17,Non-Fatal Injury,Major,2
2006/03/17,Non-Fatal Injury,None,2
2006/03/18,Non-Fatal Injury,Major,3
2006/03/18,Non-Fatal Injury,Minimal,2
2006/03/18,Non-Fatal Injury,None,3
2006/03/19,Non-Fatal Injury,Major,4
2006/03/19,Non-Fatal Injury,Minor,3
2006/03/19,Non-Fatal Injury,None,2
2006/03/20,Non-Fatal Injury,Major,2
2006/03/20,Non-Fatal Injury,Minimal,1
2006/03/20,Non-Fatal Injury,None,2
2006/03/22,Non-Fatal Injury,Major,1
2006/03/22,Non-Fatal Injury,None,2
2006/03/25,Non-Fatal Injury,Major,2
2006/03/25,Non-Fatal Injury,Minor,1
2006/03/25,Non-Fatal Injury,None,4
2006/03/26,Non-Fatal Injury,Major,1
2006/03/26,Non-Fatal Injury,None,2
2006/03/31,Non-Fatal Injury,Major,1
2006/03/31,Non-Fatal Injury,None,1
2006/04/01,Non-Fatal Injury,Major,2
2006/04/01,Non-Fatal Injury,Minimal,4
2006/04/01,Non-Fatal Injury,None,3
2006/04/02,Non-Fatal Injury,Major,1
2006/04/02,Non-Fatal Injury,None,1
2006/04/03,Non-Fatal Injury,Major,1
2006/04/03,Non-Fatal Injury,None,1
2006/04/04,Non-Fatal Injury,Major,2
2006/04/04,Non-Fatal Injury,None,1
2006/04/06,Non-Fatal Injury,Major,2
2006/04/06,Non-Fatal Injury,None,2
2006/04/07,Non-Fatal Injury,Major,1
2006/04/07,Non-Fatal Injury,None,3
2006/04/08,Non-Fatal Injury,Major,1
2006/04/08,Non-Fatal Injury,None,1
2006/04/10,Non-Fatal Injury,Major,1
2006/04/10,Non-Fatal Injury,None,1
2006/04/11,Non-Fatal Injury,Major,3
2006/04/11,Non-Fatal Injury,Minor,1
2006/04/11,Non-Fatal Injury,None,2
2006/04/12,Non-Fatal Injury,Major,1
2006/04/12,Non-Fatal Injury,None,2
2006/04/15,Fatal,Fatal,1
2006/04/15,Fatal,None,1
2006/04/18,Fatal,Fatal,1
2006/04/18,Fatal,Major,1
2006/04/18,Fatal,Minor,1
2006/04/18,Fatal,None,2
2006/04/18,Non-Fatal Injury,Major,1
2006/04/18,Non-Fatal Injury,Minimal,1
2006/04/18,Non-Fatal Injury,Minor,1
2006/04/19,Non-Fatal Injury,Major,1
2006/04/19,Non-Fatal Injury,None,1
2006/04/20,Fatal,Fatal,2
2006/04/20,Fatal,None,2
2006/04/23,Non-Fatal Injury,Major,1
2006/04/23,Non-Fatal Injury,Minimal,1
2006/04/23,Non-Fatal Injury,Minor,1
2006/04/25,Non-Fatal Injury,Major,4
2006/04/25,Non-Fatal Injury,Minimal,2
2006/04/25,Non-Fatal Injury,Minor,2
2006/04/25,Non-Fatal Injury,None,8
2006/04/26,Non-Fatal Injury,Major,1
2006/04/26,Non-Fatal Injury,Minor,1
2006/04/26,Non-Fatal Injury,None,1
2006/04/27,Non-Fatal Injury,Major,1
2006/04/27,Non-Fatal Injury,None,2
2006/04/28,Non-Fatal Injury,Major,2
2006/04/28,Non-Fatal Injury,Minimal,1
2006/04/28,Non-Fatal Injury,Minor,1
2006/04/28,Non-Fatal Injury,None,5
2006/04/29,Fatal,Fatal,1
2006/04/29,Fatal,Minimal,1
2006/04/29,Fatal,Minor,1
2006/04/29,Non-Fatal Injury,Major,1
2006/04/30,Fatal,Fatal,1
2006/05/01,Non-Fatal Injury,Major,2
2006/05/01,Non-Fatal Injury,Minor,2
2006/05/01,Non-Fatal Injury,None,1
2006/05/02,Non-Fatal Injury,Major,1
2006/05/02,Non-Fatal Injury,None,1
2006/05/03,Fatal,Fatal,1
2006/05/03,Fatal,None,1
2006/05/03,Non-Fatal Injury,Major,4
2006/05/03,Non-Fatal Injury,Minimal,1
2006/05/03,Non-Fatal Injury,Minor,2
2006/05/03,Non-Fatal Injury,None,4
2006/05/05,Non-Fatal Injury,Major,2
2006/05/05,Non-Fatal Injury,Minimal,3
2006/05/05,Non-Fatal Injury,None,1
2006/05/06,Non-Fatal Injury,Major,2
2006/05/06,Non-Fatal Injury,Minor,3
2006/05/06,Non-Fatal Injury,None,1
2006/05/07,Non-Fatal Injury,Major,1
2006/05/07,Non-Fatal Injury,Minor,1
2006/05/08,Non-Fatal Injury,Major,2
2006/05/08,Non-Fatal Injury,None,3
2006/05/09,Non-Fatal Injury,Major,2
2006/05/09,Non-Fatal Injury,Minor,1
2006/05/09,Non-Fatal Injury,None,3
2006/05/11,Non-Fatal Injury,Major,5
2006/05/11,Non-Fatal Injury,None,4
2006/05/13,Non-Fatal Injury,Major,2
2006/05/13,Non-Fatal Injury,None,2
2006/05/14,Non-Fatal Injury,Major,1
2006/05/14,Non-Fatal Injury,None,2
2006/05/17,Fatal,Fatal,1
2006/05/17,Fatal,None,1
2006/05/17,Non-Fatal Injury,Major,2
2006/05/17,Non-Fatal Injury,None,2
2006/05/19,Non-Fatal Injury,Major,3
2006/05/19,Non-Fatal Injury,None,1
2006/05/20,Non-Fatal Injury,Major,1
2006/05/20,Non-Fatal Injury,None,4
2006/05/21,Non-Fatal Injury,Major,1
2006/05/21,Non-Fatal Injury,None,3
2006/05/23,Fatal,Fatal,1
2006/05/23,Fatal,None,1
2006/05/24,Non-Fatal Injury,Major,2
2006/05/24,Non-Fatal Injury,Minor,1
2006/05/24,Non-Fatal Injury,None,1
2006/05/25,Non-Fatal Injury,Major,1
2006/05/25,Non-Fatal Injury,None,1
2006/05/26,Non-Fatal Injury,Major,1
2006/05/27,Non-Fatal Injury,Major,1
2006/05/27,Non-Fatal Injury,Minor,2
2006/05/27,Non-Fatal Injury,None,2
2006/05/28,Non-Fatal Injury,Major,3
2006/05/28,Non-Fatal Injury,Minor,1
2006/05/28,Non-Fatal Injury,None,5
2006/05/29,Non-Fatal Injury,Major,1
2006/05/29,Non-Fatal Injury,Minimal,2
2006/05/29,Non-Fatal Injury,None,2
2006/05/30,Fatal,Fatal,1
2006/06/01,Non-Fatal Injury,Major,2
2006/06/01,Non-Fatal Injury,Minor,2
2006/06/01,Non-Fatal Injury,None,1
2006/06/02,Fatal,Fatal,1
2006/06/02,Fatal,None,1
2006/06/03,Non-Fatal Injury,Major,1
2006/06/03,Non-Fatal Injury,None,2
2006/06/04,Non-Fatal Injury,Major,1
2006/06/05,Fatal,Fatal,1
2006/06/05,Fatal,None,1
2006/06/05,Non-Fatal Injury,Major,1
2006/06/05,Non-Fatal Injury,Minor,5
2006/06/05,Non-Fatal Injury,None,2
2006/06/06,Non-Fatal Injury,Major,2
2006/06/06,Non-Fatal Injury,None,2
2006/06/07,Non-Fatal Injury,Major,2
2006/06/07,Non-Fatal Injury,Minimal,1
2006/06/07,Non-Fatal Injury,Minor,2
2006/06/07,Non-Fatal Injury,None,2
2006/06/08,Non-Fatal Injury,Major,2
2006/06/08,Non-Fatal Injury,Minimal,1
2006/06/08,Non-Fatal Injury,None,2
2006/06/09,Non-Fatal Injury,Major,1
2006/06/09,Non-Fatal Injury,Minor,1
2006/06/10,Fatal,Fatal,1
2006/06/10,Fatal,Minor,1
2006/06/10,Non-Fatal Injury,Major,1
2006/06/10,Non-Fatal Injury,None,1
2006/06/11,Non-Fatal Injury,Major,1
2006/06/11,Non-Fatal Injury,None,1
2006/06/13,Non-Fatal Injury,Major,2
2006/06/13,Non-Fatal Injury,None,6
2006/06/14,Non-Fatal Injury,Major,2
2006/06/14,Non-Fatal Injury,Minimal,1
2006/06/14,Non-Fatal Injury,None,2
2006/06/15,Non-Fatal Injury,Major,1
2006/06/15,Non-Fatal Injury,None,1
2006/06/17,Non-Fatal Injury,Major,3
2006/06/17,Non-Fatal Injury,None,4
2006/06/18,Non-Fatal Injury,Major,4
2006/06/18,Non-Fatal Injury,None,4
2006/06/19,Fatal,Fatal,1
2006/06/19,Fatal,None,1
2006/06/19,Non-Fatal Injury,Major,1
2006/06/19,Non-Fatal Injury,None,1
2006/06/20,Fatal,Fatal,1
2006/06/20,Fatal,None,3
2006/06/20,Non-Fatal Injury,Major,1
2006/06/20,Non-Fatal Injury,Minor,1
2006/06/20,Non-Fatal Injury,None,2
2006/06/21,Non-Fatal Injury,Major,2
2006/06/21,Non-Fatal Injury,None,3
2006/06/22,Non-Fatal Injury,Major,1
2006/06/22,Non-Fatal Injury,None,1
2006/06/24,Non-Fatal Injury,Major,2
2006/06/24,Non-Fatal Injury,None,2
2006/06/25,Non-Fatal Injury,Major,4
2006/06/25,Non-Fatal Injury,None,2
2006/06/28,Non-Fatal Injury,Major,3
2006/06/28,Non-Fatal Injury,Minimal,2
2006/06/28,Non-Fatal Injury,None,4
2006/06/29,Non-Fatal Injury,Major,1
2006/06/29,Non-Fatal Injury,None,1
2006/06/30,Non-Fatal Injury,Major,3
2006/06/30,Non-Fatal Injury,Minimal,1
2006/06/30,Non-Fatal Injury,Minor,2
2006/06/30,Non-Fatal Injury,None,5
2006/07/04,Non-Fatal Injury,Major,3
2006/07/04,Non-Fatal Injury,None,6
2006/07/05,Non-Fatal Injury,Major,1
2006/07/05,Non-Fatal Injury,None,2
2006/07/07,Non-Fatal Injury,Major,3
2006/07/07,Non-Fatal Injury,Minimal,1
2006/07/07,Non-Fatal Injury,Minor,1
2006/07/07,Non-Fatal Injury,None,1
2006/07/08,Non-Fatal Injury,Major,1
2006/07/08,Non-Fatal Injury,Minimal,3
2006/07/08,Non-Fatal Injury,None,2
2006/07/09,Non-Fatal Injury,Major,1
2006/07/09,Non-Fatal Injury,Minimal,1
2006/07/09,Non-Fatal Injury,Minor,1
2006/07/09,Non-Fatal Injury,None,2
2006/07/10,Non-Fatal Injury,Major,3
2006/07/10,Non-Fatal Injury,Minimal,4
2006/07/10,Non-Fatal Injury,None,3
2006/07/11,Non-Fatal Injury,Major,2
2006/07/11,Non-Fatal Injury,None,2
2006/07/12,Non-Fatal Injury,Major,2
2006/07/12,Non-Fatal Injury,Minimal,1
2006/07/12,Non-Fatal Injury,None,1
2006/07/13,Non-Fatal Injury,Major,2
2006/07/13,Non-Fatal Injury,None,2
2006/07/14,Non-Fatal Injury,Major,3
2006/07/14,Non-Fatal Injury,None,4
2006/07/16,Non-Fatal Injury,Major,1
2006/07/16,Non-Fatal Injury,Minimal,1
2006/07/16,Non-Fatal Injury,None,2
2006/07/17,Non-Fatal Injury,Major,1
2006/07/17,Non-Fatal Injury,None,1
2006/07/18,Non-Fatal Injury,Major,3
2006/07/18,Non-Fatal Injury,Minimal,2
2006/07/18,Non-Fatal Injury,None,2
2006/07/19,Fatal,Fatal,1
2006/07/19,Fatal,None,1
2006/07/20,Non-Fatal Injury,Major,3
2006/07/20,Non-Fatal Injury,None,3
2006/07/22,Non-Fatal Injury,Major,1
2006/07/22,Non-Fatal Injury,None,2
2006/07/23,Fatal,Fatal,1
2006/07/23,Fatal,None,1
2006/07/23,Non-Fatal Injury,Major,1
2006/07/23,Non-Fatal Injury,None,1
2006/07/24,Non-Fatal Injury,Major,3
2006/07/24,Non-Fatal Injury,Minor,2
2006/07/24,Non-Fatal Injury,None,4
2006/07/26,Non-Fatal Injury,Major,2
2006/07/26,Non-Fatal Injury,Minor,2
2006/07/26,Non-Fatal Injury,None,2
2006/07/28,Fatal,Fatal,1
2006/07/28,Fatal,None,2
2006/07/28,Non-Fatal Injury,Major,1
2006/07/28,Non-Fatal Injury,None,1
2006/07/30,Fatal,Fatal,1
2006/07/30,Non-Fatal Injury,Major,2
2006/07/30,Non-Fatal Injury,Minimal,1
2006/07/30,Non-Fatal Injury,None,4
2006/07/31,Non-Fatal Injury,Major,3
2006/07/31,Non-Fatal Injury,None,3
2006/08/01,Fatal,Fatal,1
2006/08/01,Fatal,Minor,1
2006/08/01,Non-Fatal Injury,Major,1
2006/08/01,Non-Fatal Injury,None,1
2006/08/03,Fatal,Fatal,1
2006/08/03,Fatal,None,1
2006/08/03,Non-Fatal Injury,Major,4
2006/08/03,Non-Fatal Injury,Minimal,1
2006/08/03,Non-Fatal Injury,Minor,3
2006/08/03,Non-Fatal Injury,None,9
2006/08/05,Non-Fatal Injury,Major,3
2006/08/05,Non-Fatal Injury,Minimal,1
2006/08/05,Non-Fatal Injury,Minor,2
2006/08/05,Non-Fatal Injury,None,5
2006/08/06,Non-Fatal Injury,Major,2
2006/08/06,Non-Fatal Injury,None,3
2006/08/07,Non-Fatal Injury,Major,2
2006/08/07,Non-Fatal Injury,None,2
2006/08/08,Non-Fatal Injury,Major,5
2006/08/08,Non-Fatal Injury,None,2
2006/08/09,Non-Fatal Injury,Major,2
2006/08/09,Non-Fatal Injury,None,3
2006/08/10,Non-Fatal Injury,Major,2
2006/08/10,Non-Fatal Injury,None,2
2006/08/11,Non-Fatal Injury,Major,3
2006/08/11,Non-Fatal Injury,None,2
2006/08/12,Non-Fatal Injury,Major,3
2006/08/12,Non-Fatal Injury,None,3
2006/08/15,Non-Fatal Injury,Major,6
2006/08/15,Non-Fatal Injury,Minimal,1
2006/08/15,Non-Fatal Injury,None,9
2006/08/17,Non-Fatal Injury,Major,4
2006/08/17,Non-Fatal Injury,None,5
2006/08/18,Fatal,Fatal,2
2006/08/18,Fatal,Minor,4
2006/08/18,Fatal,None,6
2006/08/18,Non-Fatal Injury,Major,2
2006/08/18,Non-Fatal Injury,None,2
2006/08/19,Fatal,Fatal,2
2006/08/19,Fatal,None,2
2006/08/20,Non-Fatal Injury,Major,4
2006/08/20,Non-Fatal Injury,Minimal,1
2006/08/20,Non-Fatal Injury,None,5
2006/08/21,Non-Fatal Injury,Major,4
2006/08/21,Non-Fatal Injury,None,5
2006/08/22,Non-Fatal Injury,Major,4
2006/08/22,Non-Fatal Injury,Minimal,2
2006/08/22,Non-Fatal Injury,Minor,1
2006/08/22,Non-Fatal Injury,None,12
2006/08/23,Non-Fatal Injury,Major,1
2006/08/23,Non-Fatal Injury,Minimal,1
2006/08/23,Non-Fatal Injury,None,2
2006/08/24,Non-Fatal Injury,Major,3
2006/08/24,Non-Fatal Injury,None,7
2006/08/25,Fatal,Fatal,1
2006/08/25,Fatal,Minimal,1
2006/08/25,Non-Fatal Injury,Major,1
2006/08/25,Non-Fatal Injury,None,1
2006/08/26,Non-Fatal Injury,Major,2
2006/08/26,Non-Fatal Injury,None,2
2006/08/27,Fatal,Fatal,1
2006/08/27,Fatal,None,1
2006/08/29,Non-Fatal Injury,Major,4
2006/08/29,Non-Fatal Injury,None,4
2006/08/31,Non-Fatal Injury,Major,4
2006/08/31,Non-Fatal Injury,None,4
2006/09/02,Non-Fatal Injury,Major,2
2006/09/02,Non-Fatal Injury,Minimal,2
2006/09/02,Non-Fatal Injury,Minor,1
2006/09/02,Non-Fatal Injury,None,2
2006/09/04,Non-Fatal Injury,Major,3
2006/09/04,Non-Fatal Injury,None,1
2006/09/05,Non-Fatal Injury,Major,3
2006/09/05,Non-Fatal Injury,Minor,1
2006/09/05,Non-Fatal Injury,None,7
2006/09/08,Non-Fatal Injury,Major,2
2006/09/08,Non-Fatal Injury,Minimal,1
2006/09/08,Non-Fatal Injury,None,2
2006/09/09,Fatal,Fatal,1
2006/09/09,Fatal,Major,1
2006/09/09,Fatal,None,2
2006/09/09,Non-Fatal Injury,Major,3
2006/09/09,Non-Fatal Injury,Minor,1
2006/09/09,Non-Fatal Injury,None,5
2006/09/10,Non-Fatal Injury,Major,1
2006/09/11,Fatal,Fatal,1
2006/09/11,Fatal,None,1
2006/09/12,Non-Fatal Injury,Major,3
2006/09/12,Non-Fatal Injury,None,9
2006/09/13,Non-Fatal Injury,Major,2
2006/09/13,Non-Fatal Injury,Minimal,1
2006/09/15,Non-Fatal Injury,Major,1
2006/09/15,Non-Fatal Injury,None,1
2006/09/17,Non-Fatal Injury,Major,4
2006/09/17,Non-Fatal Injury,Minor,1
2006/09/17,Non-Fatal Injury,None,2
2006/09/19,Non-Fatal Injury,Major,1
2006/09/19,Non-Fatal Injury,None,1
2006/09/20,Non-Fatal Injury,Major,3
2006/09/20,Non-Fatal Injury,Minimal,1
2006/09/20,Non-Fatal Injury,Minor,1
2006/09/20,Non-Fatal Injury,None,4
2006/09/21,Non-Fatal Injury,Major,3
2006/09/21,Non-Fatal Injury,None,3
2006/09/22,Fatal,Fatal,1
2006/09/22,Non-Fatal Injury,Major,1
2006/09/22,Non-Fatal Injury,None,1
2006/09/25,Non-Fatal Injury,Major,2
2006/09/25,Non-Fatal Injury,None,3
2006/09/26,Non-Fatal Injury,Major,2
2006/09/26,Non-Fatal Injury,Minimal,2
2006/09/26,Non-Fatal Injury,Minor,1
2006/09/26,Non-Fatal Injury,None,2
2006/09/28,Non-Fatal Injury,Major,2
2006/09/28,Non-Fatal Injury,Minimal,1
2006/09/28,Non-Fatal Injury,None,1
2006/09/29,Non-Fatal Injury,Major,2
2006/09/29,Non-Fatal Injury,Minor,1
2006/09/30,Non-Fatal Injury,Major,5
2006/09/30,Non-Fatal Injury,Minor,2
2006/09/30,Non-Fatal Injury,None,8
2006/10/01,Non-Fatal Injury,Major,6
2006/10/01,Non-Fatal Injury,Minor,1
2006/10/01,Non-Fatal Injury,None,4
2006/10/02,Non-Fatal Injury,Major,3
2006/10/02,Non-Fatal Injury,Minor,1
2006/10/02,Non-Fatal Injury,None,4
2006/10/03,Non-Fatal Injury,Major,2
2006/10/03,Non-Fatal Injury,None,2
2006/10/04,Non-Fatal Injury,Major,7
2006/10/04,Non-Fatal Injury,Minimal,1
2006/10/04,Non-Fatal Injury,None,5
2006/10/05,Non-Fatal Injury,Major,3
2006/10/05,Non-Fatal Injury,Minimal,3
2006/10/05,Non-Fatal Injury,Minor,1
2006/10/05,Non-Fatal Injury,None,3
2006/10/06,Non-Fatal Injury,Major,2
2006/10/06,Non-Fatal Injury,Minor,1
2006/10/06,Non-Fatal Injury,None,1
2006/10/07,Non-Fatal Injury,Major,1
2006/10/07,Non-Fatal Injury,None,1
2006/10/09,Non-Fatal Injury,Major,3
2006/10/09,Non-Fatal Injury,None,2
2006/10/10,Non-Fatal Injury,Major,2
2006/10/10,Non-Fatal Injury,Minor,1
2006/10/10,Non-Fatal Injury,None,1
2006/10/11,Non-Fatal Injury,Major,2
2006/10/11,Non-Fatal Injury,Minimal,1
2006/10/11,Non-Fatal Injury,None,2
2006/10/12,Non-Fatal Injury,Major,2
2006/10/12,Non-Fatal Injury,None,2
2006/10/13,Non-Fatal Injury,Major,1
2006/10/13,Non-Fatal Injury,Minimal,1
2006/10/13,Non-Fatal Injury,None,1
2006/10/14,Non-Fatal Injury,Major,2
2006/10/14,Non-Fatal Injury,None,2
2006/10/15,Non-Fatal Injury,Major,1
2006/10/15,Non-Fatal Injury,None,1
2006/10/16,Non-Fatal Injury,Major,1
2006/10/16,Non-Fatal Injury,None,1
2006/10/17,Non-Fatal Injury,Major,2
2006/10/17,Non-Fatal Injury,Minor,1
2006/10/17,Non-Fatal Injury,None,3
2006/10/18,Fatal,Fatal,1
2006/10/18,Non-Fatal Injury,Major,1
2006/10/18,Non-Fatal Injury,Minimal,1
2006/10/18,Non-Fatal Injury,Minor,1
2006/10/21,Non-Fatal Injury,Major,1
2006/10/21,Non-Fatal Injury,None,2
2006/10/25,Non-Fatal Injury,Major,1
2006/10/25,Non-Fatal Injury,Minor,2
2006/10/25,Non-Fatal Injury,None,1
2006/10/26,Non-Fatal Injury,Major,1
2006/10/26,Non-Fatal Injury,None,1
2006/10/27,Non-Fatal Injury,Major,2
2006/10/27,Non-Fatal Injury,Minor,3
2006/10/27,Non-Fatal Injury,None,4
2006/10/28,Non-Fatal Injury,Major,2
2006/10/28,Non-Fatal Injury,None,3
2006/10/29,Fatal,Fatal,1
2006/10/29,Fatal,None,1
2006/10/29,Non-Fatal Injury,Major,2
2006/10/29,Non-Fatal Injury,None,1
2006/10/30,Non-Fatal Injury,Major,1
2006/10/30,Non-Fatal Injury,None,1
2006/11/02,Non-Fatal Injury,Major,1
2006/11/02,Non-Fatal Injury,None,1
2006/11/03,Non-Fatal Injury,Major,3
2006/11/03,Non-Fatal Injury,None,7
2006/11/04,Fatal,Fatal,1
2006/11/04,Fatal,None,2
2006/11/04,Non-Fatal Injury,Major,1
2006/11/04,Non-Fatal Injury,None,1
2006/11/07,Non-Fatal Injury,Major,1
2006/11/07,Non-Fatal Injury,None,2
2006/11/08,Non-Fatal Injury,Major,1
2006/11/08,Non-Fatal Injury,None,1
2006/11/10,Non-Fatal Injury,Major,2
2006/11/10,Non-Fatal Injury,Minimal,1
2006/11/10,Non-Fatal Injury,None,1
2006/11/11,Fatal,Fatal,1
2006/11/11,Fatal,Minor,3
2006/11/11,Fatal,None,1
2006/11/12,Non-Fatal Injury,Major,3
2006/11/12,Non-Fatal Injury,Minor,1
2006/11/12,Non-Fatal Injury,None,3
2006/11/14,Non-Fatal Injury,Major,1
2006/11/14,Non-Fatal Injury,Minimal,1
2006/11/14,Non-Fatal Injury,None,3
2006/11/17,Non-Fatal Injury,Major,2
2006/11/17,Non-Fatal Injury,None,1
2006/11/19,Non-Fatal Injury,Major,3
2006/11/19,Non-Fatal Injury,Minimal,1
2006/11/19,Non-Fatal Injury,None,3
2006/11/21,Non-Fatal Injury,Major,2
2006/11/21,Non-Fatal Injury,Minimal,1
2006/11/21,Non-Fatal Injury,None,2
2006/11/22,Non-Fatal Injury,Major,2
2006/11/22,Non-Fatal Injury,Minimal,1
2006/11/22,Non-Fatal Injury,None,2
2006/11/23,Non-Fatal Injury,Major,1
2006/11/23,Non-Fatal Injury,Minimal,2
2006/11/23,Non-Fatal Injury,None,4
2006/11/26,Non-Fatal Injury,Major,4
2006/11/28,Non-Fatal Injury,Major,2
2006/11/28,Non-Fatal Injury,None,2
2006/11/29,Non-Fatal Injury,Major,1
2006/11/29,Non-Fatal Injury,None,2
2006/11/30,Fatal,Fatal,1
2006/11/30,Fatal,None,2
2006/11/30,Non-Fatal Injury,Major,3
2006/11/30,Non-Fatal Injury,Minimal,1
2006/11/30,Non-Fatal Injury,None,3
2006/12/01,Non-Fatal Injury,Major,1
2006/12/01,Non-Fatal Injury,None,1
2006/12/02,Non-Fatal Injury,Major,2
2006/12/02,Non-Fatal Injury,None,2
2006/12/05,Non-Fatal Injury,Major,4
2006/12/05,Non-Fatal Injury,Minor,1
2006/12/05,Non-Fatal Injury,None,5
2006/12/06,Non-Fatal Injury,Major,3
2006/12/06,Non-Fatal Injury,Minor,1
2006/12/06,Non-Fatal Injury,None,3
2006/12/07,Fatal,Fatal,1
2006/12/07,Fatal,None,1
2006/12/07,Non-Fatal Injury,Major,7
2006/12/07,Non-Fatal Injury,Minimal,1
2006/12/07,Non-Fatal Injury,Minor,1
2006/12/07,Non-Fatal Injury,None,4
2006/12/08,Fatal,Fatal,1
2006/12/08,Fatal,None,2
2006/12/08,Non-Fatal Injury,Major,2
2006/12/08,Non-Fatal Injury,Minimal,3
2006/12/08,Non-Fatal Injury,Minor,1
